story_id,config,seed,structure,temperature,dimension,mean_score,std_score,std_error,n_ratings,n_raters,n_deep_raters,n_shallow_raters,rater_balance,reliability_weight
nonlinear_T0.9_s1,nonlinear_T0.9,s1,nonlinear,0.9,Emotional Development,3.5,1.118,0.559,4,4,3,1,0.75,1.0
nonlinear_T0.9_s1,nonlinear_T0.9,s1,nonlinear,0.9,Character Consistency,3.25,0.433,0.217,4,4,3,1,0.75,1.0
nonlinear_T0.9_s1,nonlinear_T0.9,s1,nonlinear,0.9,Creativity_Originality,4.0,1.0,0.5,4,4,3,1,0.75,1.0
nonlinear_T0.9_s1,nonlinear_T0.9,s1,nonlinear,0.9,Language Fluency,3.25,0.433,0.217,4,4,3,1,0.75,1.0
nonlinear_T0.9_s1,nonlinear_T0.9,s1,nonlinear,0.9,Structural Completeness,3.5,0.5,0.25,4,4,3,1,0.75,1.0
nonlinear_T0.9_s1,nonlinear_T0.9,s1,nonlinear,0.9,Overall Quality,6.5,2.062,1.031,4,4,3,1,0.75,1.0
nonlinear_T0.9_s2,nonlinear_T0.9,s2,nonlinear,0.9,Coherence,3.0,0.0,0.0,3,3,3,0,1.0,0.75
nonlinear_T0.9_s2,nonlinear_T0.9,s2,nonlinear,0.9,Emotional Development,2.667,0.471,0.272,3,3,3,0,1.0,0.75
nonlinear_T0.9_s2,nonlinear_T0.9,s2,nonlinear,0.9,Character Consistency,3.667,0.471,0.272,3,3,3,0,1.0,0.75
nonlinear_T0.9_s2,nonlinear_T0.9,s2,nonlinear,0.9,Creativity_Originality,3.667,0.943,0.544,3,3,3,0,1.0,0.75
nonlinear_T0.9_s2,nonlinear_T0.9,s2,nonlinear,0.9,Language Fluency,3.333,0.471,0.272,3,3,3,0,1.0,0.75
nonlinear_T0.9_s2,nonlinear_T0.9,s2,nonlinear,0.9,Structural Completeness,3.333,0.471,0.272,3,3,3,0,1.0,0.75
nonlinear_T0.9_s2,nonlinear_T0.9,s2,nonlinear,0.9,Overall Quality,7.0,0.816,0.471,3,3,3,0,1.0,0.75
nonlinear_T0.9_s3,nonlinear_T0.9,s3,nonlinear,0.9,Coherence,4.667,0.471,0.272,3,3,3,0,1.0,0.75
nonlinear_T0.9_s3,nonlinear_T0.9,s3,nonlinear,0.9,Emotional Development,4.667,0.471,0.272,3,3,3,0,1.0,0.75
nonlinear_T0.9_s3,nonlinear_T0.9,s3,nonlinear,0.9,Character Consistency,3.667,0.943,0.544,3,3,3,0,1.0,0.75
nonlinear_T0.9_s3,nonlinear_T0.9,s3,nonlinear,0.9,Creativity_Originality,3.667,0.943,0.544,3,3,3,0,1.0,0.75
nonlinear_T0.9_s3,nonlinear_T0.9,s3,nonlinear,0.9,Language Fluency,4.0,0.816,0.471,3,3,3,0,1.0,0.75
nonlinear_T0.9_s3,nonlinear_T0.9,s3,nonlinear,0.9,Structural Completeness,4.333,0.943,0.544,3,3,3,0,1.0,0.75
nonlinear_T0.9_s3,nonlinear_T0.9,s3,nonlinear,0.9,Overall Quality,7.333,1.7,0.981,3,3,3,0,1.0,0.75
nonlinear_T0.7_s1,nonlinear_T0.7,s1,nonlinear,0.7,Coherence,2.333,0.471,0.272,3,3,3,0,1.0,0.75
nonlinear_T0.7_s1,nonlinear_T0.7,s1,nonlinear,0.7,Emotional Development,2.333,0.471,0.272,3,3,3,0,1.0,0.75
nonlinear_T0.7_s1,nonlinear_T0.7,s1,nonlinear,0.7,Character Consistency,2.333,0.471,0.272,3,3,3,0,1.0,0.75
nonlinear_T0.7_s1,nonlinear_T0.7,s1,nonlinear,0.7,Creativity_Originality,3.333,0.471,0.272,3,3,3,0,1.0,0.75
nonlinear_T0.7_s1,nonlinear_T0.7,s1,nonlinear,0.7,Language Fluency,3.0,0.0,0.0,3,3,3,0,1.0,0.75
nonlinear_T0.7_s1,nonlinear_T0.7,s1,nonlinear,0.7,Structural Completeness,2.667,0.471,0.272,3,3,3,0,1.0,0.75
nonlinear_T0.7_s1,nonlinear_T0.7,s1,nonlinear,0.7,Overall Quality,5.333,0.943,0.544,3,3,3,0,1.0,0.75
nonlinear_T0.7_s2,nonlinear_T0.7,s2,nonlinear,0.7,Coherence,3.25,0.433,0.217,4,4,3,1,0.75,1.0
nonlinear_T0.7_s2,nonlinear_T0.7,s2,nonlinear,0.7,Emotional Development,3.25,0.433,0.217,4,4,3,1,0.75,1.0
nonlinear_T0.7_s2,nonlinear_T0.7,s2,nonlinear,0.7,Character Consistency,3.5,0.5,0.25,4,4,3,1,0.75,1.0
nonlinear_T0.7_s2,nonlinear_T0.7,s2,nonlinear,0.7,Creativity_Originality,4.25,0.433,0.217,4,4,3,1,0.75,1.0
nonlinear_T0.7_s2,nonlinear_T0.7,s2,nonlinear,0.7,Language Fluency,3.0,0.0,0.0,4,4,3,1,0.75,1.0
nonlinear_T0.7_s2,nonlinear_T0.7,s2,nonlinear,0.7,Structural Completeness,3.25,0.433,0.217,4,4,3,1,0.75,1.0
nonlinear_T0.7_s2,nonlinear_T0.7,s2,nonlinear,0.7,Overall Quality,5.5,1.118,0.559,4,4,3,1,0.75,1.0
nonlinear_T0.7_s3,nonlinear_T0.7,s3,nonlinear,0.7,Coherence,3.667,0.471,0.272,3,3,3,0,1.0,0.75
nonlinear_T0.7_s3,nonlinear_T0.7,s3,nonlinear,0.7,Emotional Development,4.0,0.816,0.471,3,3,3,0,1.0,0.75
nonlinear_T0.7_s3,nonlinear_T0.7,s3,nonlinear,0.7,Character Consistency,3.667,0.471,0.272,3,3,3,0,1.0,0.75
nonlinear_T0.7_s3,nonlinear_T0.7,s3,nonlinear,0.7,Creativity_Originality,4.667,0.471,0.272,3,3,3,0,1.0,0.75
nonlinear_T0.7_s3,nonlinear_T0.7,s3,nonlinear,0.7,Language Fluency,4.0,0.0,0.0,3,3,3,0,1.0,0.75
nonlinear_T0.7_s3,nonlinear_T0.7,s3,nonlinear,0.7,Structural Completeness,4.0,0.0,0.0,3,3,3,0,1.0,0.75
nonlinear_T0.7_s3,nonlinear_T0.7,s3,nonlinear,0.7,Overall Quality,7.333,0.471,0.272,3,3,3,0,1.0,0.75
nonlinear_T0.3_s1,nonlinear_T0.3,s1,nonlinear,0.3,Coherence,3.667,0.471,0.272,3,3,3,0,1.0,0.75
nonlinear_T0.3_s1,nonlinear_T0.3,s1,nonlinear,0.3,Emotional Development,3.0,0.816,0.471,3,3,3,0,1.0,0.75
nonlinear_T0.3_s1,nonlinear_T0.3,s1,nonlinear,0.3,Character Consistency,3.0,0.0,0.0,3,3,3,0,1.0,0.75
nonlinear_T0.3_s1,nonlinear_T0.3,s1,nonlinear,0.3,Creativity_Originality,3.667,0.471,0.272,3,3,3,0,1.0,0.75
nonlinear_T0.3_s1,nonlinear_T0.3,s1,nonlinear,0.3,Language Fluency,3.0,0.0,0.0,3,3,3,0,1.0,0.75
nonlinear_T0.3_s1,nonlinear_T0.3,s1,nonlinear,0.3,Structural Completeness,2.667,0.471,0.272,3,3,3,0,1.0,0.75
nonlinear_T0.3_s1,nonlinear_T0.3,s1,nonlinear,0.3,Overall Quality,5.333,0.471,0.272,3,3,3,0,1.0,0.75
nonlinear_T0.3_s2,nonlinear_T0.3,s2,nonlinear,0.3,Coherence,3.75,0.433,0.217,4,4,3,1,0.75,1.0
nonlinear_T0.3_s2,nonlinear_T0.3,s2,nonlinear,0.3,Emotional Development,3.5,0.866,0.433,4,4,3,1,0.75,1.0
nonlinear_T0.3_s2,nonlinear_T0.3,s2,nonlinear,0.3,Character Consistency,3.75,0.829,0.415,4,4,3,1,0.75,1.0
nonlinear_T0.3_s2,nonlinear_T0.3,s2,nonlinear,0.3,Creativity_Originality,3.0,1.0,0.5,4,4,3,1,0.75,1.0
nonlinear_T0.3_s2,nonlinear_T0.3,s2,nonlinear,0.3,Language Fluency,3.75,0.829,0.415,4,4,3,1,0.75,1.0
nonlinear_T0.3_s2,nonlinear_T0.3,s2,nonlinear,0.3,Structural Completeness,3.0,0.707,0.354,4,4,3,1,0.75,1.0
nonlinear_T0.3_s2,nonlinear_T0.3,s2,nonlinear,0.3,Overall Quality,5.75,1.785,0.893,4,4,3,1,0.75,1.0
nonlinear_T0.3_s3,nonlinear_T0.3,s3,nonlinear,0.3,Coherence,3.667,0.471,0.272,3,3,3,0,1.0,0.75
nonlinear_T0.3_s3,nonlinear_T0.3,s3,nonlinear,0.3,Emotional Development,3.0,0.816,0.471,3,3,3,0,1.0,0.75
nonlinear_T0.3_s3,nonlinear_T0.3,s3,nonlinear,0.3,Character Consistency,3.667,0.943,0.544,3,3,3,0,1.0,0.75
nonlinear_T0.3_s3,nonlinear_T0.3,s3,nonlinear,0.3,Creativity_Originality,3.333,0.471,0.272,3,3,3,0,1.0,0.75
nonlinear_T0.3_s3,nonlinear_T0.3,s3,nonlinear,0.3,Language Fluency,3.333,0.471,0.272,3,3,3,0,1.0,0.75
nonlinear_T0.3_s3,nonlinear_T0.3,s3,nonlinear,0.3,Structural Completeness,3.667,0.471,0.272,3,3,3,0,1.0,0.75
nonlinear_T0.3_s3,nonlinear_T0.3,s3,nonlinear,0.3,Overall Quality,5.667,1.247,0.72,3,3,3,0,1.0,0.75
linear_T0.9_s3,linear_T0.9,s3,linear,0.9,Coherence,4.25,0.433,0.217,4,4,3,1,0.75,1.0
linear_T0.9_s3,linear_T0.9,s3,linear,0.9,Emotional Development,4.25,0.829,0.415,4,4,3,1,0.75,1.0
linear_T0.9_s3,linear_T0.9,s3,linear,0.9,Character Consistency,3.75,0.829,0.415,4,4,3,1,0.75,1.0
linear_T0.9_s3,linear_T0.9,s3,linear,0.9,Creativity_Originality,4.0,1.0,0.5,4,4,3,1,0.75,1.0
linear_T0.9_s3,linear_T0.9,s3,linear,0.9,Language Fluency,3.75,0.433,0.217,4,4,3,1,0.75,1.0
linear_T0.9_s3,linear_T0.9,s3,linear,0.9,Structural Completeness,4.0,0.0,0.0,4,4,3,1,0.75,1.0
linear_T0.9_s3,linear_T0.9,s3,linear,0.9,Overall Quality,10.25,5.673,2.837,4,4,3,1,0.75,1.0
linear_T0.9_s1,linear_T0.9,s1,linear,0.9,Coherence,3.667,0.471,0.272,3,3,3,0,1.0,0.75
linear_T0.9_s1,linear_T0.9,s1,linear,0.9,Emotional Development,4.333,0.471,0.272,3,3,3,0,1.0,0.75
linear_T0.9_s1,linear_T0.9,s1,linear,0.9,Character Consistency,3.667,0.471,0.272,3,3,3,0,1.0,0.75
linear_T0.9_s1,linear_T0.9,s1,linear,0.9,Creativity_Originality,3.333,0.471,0.272,3,3,3,0,1.0,0.75
linear_T0.9_s1,linear_T0.9,s1,linear,0.9,Language Fluency,4.333,0.471,0.272,3,3,3,0,1.0,0.75
linear_T0.9_s1,linear_T0.9,s1,linear,0.9,Structural Completeness,3.333,0.471,0.272,3,3,3,0,1.0,0.75
linear_T0.9_s1,linear_T0.9,s1,linear,0.9,Overall Quality,8.333,0.943,0.544,3,3,3,0,1.0,0.75
linear_T0.9_s2,linear_T0.9,s2,linear,0.9,Coherence,3.0,0.816,0.471,3,3,3,0,1.0,0.75
linear_T0.9_s2,linear_T0.9,s2,linear,0.9,Emotional Development,3.667,0.471,0.272,3,3,3,0,1.0,0.75
linear_T0.9_s2,linear_T0.9,s2,linear,0.9,Character Consistency,3.667,0.471,0.272,3,3,3,0,1.0,0.75
linear_T0.9_s2,linear_T0.9,s2,linear,0.9,Creativity_Originality,3.667,0.471,0.272,3,3,3,0,1.0,0.75
linear_T0.9_s2,linear_T0.9,s2,linear,0.9,Language Fluency,3.333,0.471,0.272,3,3,3,0,1.0,0.75
linear_T0.9_s2,linear_T0.9,s2,linear,0.9,Structural Completeness,4.0,0.0,0.0,3,3,3,0,1.0,0.75
linear_T0.9_s2,linear_T0.9,s2,linear,0.9,Overall Quality,7.667,1.247,0.72,3,3,3,0,1.0,0.75
