dimension,story_id,consistency,n_raters,quality
Structural Completeness,linear_T0.3_s1,0.6076769118645278,4,Good
Structural Completeness,linear_T0.3_s2,0.8528449837843128,3,Good
Structural Completeness,linear_T0.3_s3,0.8528449837843128,3,Good
Structural Completeness,linear_T0.7_s1,0.7016762491749117,3,Good
Structural Completeness,linear_T0.7_s2,0.6937965692648235,3,Good
Structural Completeness,linear_T0.7_s3,0.66310654383986,4,Good
Structural Completeness,linear_T0.9_s1,0.6192678403673579,3,Good
Structural Completeness,linear_T0.9_s2,0.7380287251629136,3,Good
Structural Completeness,linear_T0.9_s3,0.6974929266290312,4,Good
Structural Completeness,nonlinear_T0.3_s1,0.7033479184000904,3,Good
Structural Completeness,nonlinear_T0.3_s2,0.5748745425932094,4,Fair
Structural Completeness,nonlinear_T0.3_s3,0.615911621788925,3,Good
Structural Completeness,nonlinear_T0.7_s1,0.8240910346056466,3,Good
Structural Completeness,nonlinear_T0.7_s2,0.682609887528197,4,Good
Structural Completeness,nonlinear_T0.7_s3,0.7676940111829218,3,Good
Structural Completeness,nonlinear_T0.9_s1,0.5961244060022461,4,Fair
Structural Completeness,nonlinear_T0.9_s2,0.7553712296119718,3,Good
Structural Completeness,nonlinear_T0.9_s3,0.5456250880258536,3,Fair
Overall Quality,baseline,0.6546245112728813,20,Good
Overall Quality,linear_T0.3_s1,0.622860095693696,4,Good
Overall Quality,linear_T0.3_s2,0.6339745962155614,3,Good
Overall Quality,linear_T0.3_s3,0.707661718391556,3,Good
Overall Quality,linear_T0.7_s1,0.6926106220423845,3,Good
Overall Quality,linear_T0.7_s2,0.7303137681770547,3,Good
Overall Quality,linear_T0.7_s3,0.6744809128792887,4,Good
Overall Quality,linear_T0.9_s1,0.7380287251629136,3,Good
Overall Quality,linear_T0.9_s2,0.6392589419581376,3,Good
Overall Quality,linear_T0.9_s3,0.7687915305668932,4,Good
Overall Quality,nonlinear_T0.3_s1,0.7380287251629136,3,Good
Overall Quality,nonlinear_T0.3_s2,0.5645636890096278,4,Fair
Overall Quality,nonlinear_T0.3_s3,0.6392589419581376,3,Good
Overall Quality,nonlinear_T0.7_s1,0.8304327697118485,3,Good
Overall Quality,nonlinear_T0.7_s2,0.6711607884168943,4,Good
Overall Quality,nonlinear_T0.7_s3,0.7720932052390654,3,Good
Overall Quality,nonlinear_T0.9_s1,0.647306854481658,4,Good
Overall Quality,nonlinear_T0.9_s2,0.8092564301694538,3,Good
Overall Quality,nonlinear_T0.9_s3,0.8092564301694538,3,Good
