dimension,story_id,icc_value,n_raters,status
Language Fluency,nonlinear_T0.7_s2,1.0,4,SIMPLE
Language Fluency,nonlinear_T0.7_s3,1.0,3,SIMPLE
Language Fluency,nonlinear_T0.3_s1,1.0,3,SIMPLE
Language Fluency,nonlinear_T0.3_s2,0.5467001677156801,4,SIMPLE
Language Fluency,nonlinear_T0.3_s3,0.6796227589829592,3,SIMPLE
Language Fluency,linear_T0.9_s3,0.6978305207480379,4,SIMPLE
Language Fluency,linear_T0.9_s1,0.6796227589829592,3,SIMPLE
Language Fluency,linear_T0.9_s2,0.6796227589829592,3,SIMPLE
Structural Completeness,baseline,0.5294312298497196,20,SIMPLE
Structural Completeness,linear_T0.7_s1,0.6796227589829592,3,SIMPLE
Structural Completeness,linear_T0.7_s2,0.5147186257614297,3,SIMPLE
Structural Completeness,linear_T0.7_s3,0.5467001677156801,4,SIMPLE
Structural Completeness,linear_T0.3_s1,0.4494897427831781,4,SIMPLE
Structural Completeness,linear_T0.3_s2,0.6796227589829592,3,SIMPLE
Structural Completeness,linear_T0.3_s3,0.6796227589829592,3,SIMPLE
Structural Completeness,nonlinear_T0.9_s1,0.6666666666666666,4,SIMPLE
Structural Completeness,nonlinear_T0.9_s2,0.6796227589829592,3,SIMPLE
Structural Completeness,nonlinear_T0.9_s3,0.5147186257614297,3,SIMPLE
Structural Completeness,nonlinear_T0.7_s1,0.6796227589829592,3,SIMPLE
Structural Completeness,nonlinear_T0.7_s2,0.6978305207480379,4,SIMPLE
Structural Completeness,nonlinear_T0.7_s3,1.0,3,SIMPLE
Structural Completeness,nonlinear_T0.3_s1,0.6796227589829592,3,SIMPLE
Structural Completeness,nonlinear_T0.3_s2,0.585786437626905,4,SIMPLE
Structural Completeness,nonlinear_T0.3_s3,0.6796227589829592,3,SIMPLE
Structural Completeness,linear_T0.9_s3,1.0,4,SIMPLE
Structural Completeness,linear_T0.9_s1,0.6796227589829592,3,SIMPLE
Structural Completeness,linear_T0.9_s2,1.0,3,SIMPLE
Overall Quality,baseline,0.42637333914490244,20,SIMPLE
Overall Quality,linear_T0.7_s1,0.6796227589829592,3,SIMPLE
Overall Quality,linear_T0.7_s2,0.4449944320643648,3,SIMPLE
Overall Quality,linear_T0.7_s3,0.4785319247208981,4,SIMPLE
Overall Quality,linear_T0.3_s1,0.31594942629453465,4,SIMPLE
Overall Quality,linear_T0.3_s2,0.5505102572168219,3,SIMPLE
Overall Quality,linear_T0.3_s3,0.6796227589829592,3,SIMPLE
Overall Quality,nonlinear_T0.9_s1,0.3266316347104093,4,SIMPLE
Overall Quality,nonlinear_T0.9_s2,0.5505102572168219,3,SIMPLE
Overall Quality,nonlinear_T0.9_s3,0.37041520828107966,3,SIMPLE
Overall Quality,nonlinear_T0.7_s1,0.5147186257614297,3,SIMPLE
Overall Quality,nonlinear_T0.7_s2,0.4721359549995794,4,SIMPLE
Overall Quality,nonlinear_T0.7_s3,0.6796227589829592,3,SIMPLE
Overall Quality,nonlinear_T0.3_s1,0.6796227589829592,3,SIMPLE
Overall Quality,nonlinear_T0.3_s2,0.35902039183346857,4,SIMPLE
Overall Quality,nonlinear_T0.3_s3,0.4449944320643648,3,SIMPLE
Overall Quality,linear_T0.9_s3,0.40338521749465606,4,SIMPLE
Overall Quality,linear_T0.9_s1,0.5147186257614297,3,SIMPLE
Overall Quality,linear_T0.9_s2,0.4449944320643648,3,SIMPLE
