group_id,stories_in_group,genre,structure,temperature,self_bleu_group,self_bleu_group_norm,one_minus_self_bleu,distinct_group,alpha,diversity_score,bleu_type,window,stride,bleu_sample_every
sciencefiction_linear_T0.3,thelittleredridinghood_sciencefictionrewrite_linear_T0.3_s1; thelittleredridinghood_sciencefictionrewrite_linear_T0.3_s2; thelittleredridinghood_sciencefictionrewrite_linear_T0.3_s3,sciencefiction,linear,0.3,0.12832897924064698,0.43663466631203807,0.5633653336879619,0.5747843319375051,0.6925775354536233,0.5668757902724872,sacreBLEU-4,1000,500,1
sciencefiction_linear_T0.7,thelittleredridinghood_sciencefictionrewrite_linear_T0.7_s1; thelittleredridinghood_sciencefictionrewrite_linear_T0.7_s2; thelittleredridinghood_sciencefictionrewrite_linear_T0.7_s3,sciencefiction,linear,0.7,0.11447272527924264,0.18187677632268162,0.8181232236773184,0.6297624104423523,0.6925775354536233,0.7602168782486654,sacreBLEU-4,1000,500,1
sciencefiction_linear_T0.9,thelittleredridinghood_sciencefictionrewrite_linear_T0.9_s1; thelittleredridinghood_sciencefictionrewrite_linear_T0.9_s2; thelittleredridinghood_sciencefictionrewrite_linear_T0.9_s3,sciencefiction,linear,0.9,0.12304935361750292,0.33956468712196247,0.6604353128780376,0.5932534998317628,0.6925775354536233,0.6397821143386578,sacreBLEU-4,1000,500,1
sciencefiction_nonlinear_T0.3,thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.3_s1; thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.3_s2; thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.3_s3,sciencefiction,nonlinear,0.3,0.11806341176425268,0.24789430999970913,0.7521056900002909,0.21522961794956727,0.6925775354536233,0.5870579247744794,sacreBLEU-4,1000,500,1
sciencefiction_nonlinear_T0.7,thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.7_s1; thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.7_s2; thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.7_s3,sciencefiction,nonlinear,0.7,0.1012830478040843,0.0,1.0,0.41666903943298067,0.6925775354536233,0.8206709584562817,sacreBLEU-4,1000,500,1
sciencefiction_nonlinear_T0.9,thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.9_s1; thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.9_s2; thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.9_s3,sciencefiction,nonlinear,0.9,0.16918415163960107,1.0,0.0,0.18639626689484892,0.6925775354536233,0.05730239975105866,sacreBLEU-4,1000,500,1
