story_id,original_config_name,test_type,genre,structure,temperature,seed,is_baseline,distinct_avg,diversity_group_score,alpha_genre,alpha_value,distinct_score,self_bleu_group,one_minus_self_bleu,avg_semantic_continuity,semantic_continuity_sentence_count,semantic_continuity_std,low_continuity_points,high_continuity_segments,semantic_continuity_median,semantic_continuity_max,semantic_continuity_min,pseudo_ppl,err_per_100w,error_count,fluency_word_count,correlation_coefficient,direction_consistency,classification_agreement,roberta_avg_score,reagan_classification,chapter_count,major_disagreements,roberta_std,labmt_std,emotion_correlation,roberta_scores_str,labmt_scores_str,tp_coverage,tp_m,tp_n,tp_completion_rate,li_function_diversity,total_events,total_words,total_sentences,wall_time_sec,peak_mem_mb,tokens_total,cost_usd,diversity_score_seed,avg_semantic_continuity_normalized,diversity_score_seed_normalized,one_minus_self_bleu_normalized,roberta_avg_score_normalized,综合得分,语义连贯性,多样性,独创性,情感一致性,流畅性
sciencefiction_nonlinear_T0.7_s2,thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.7_s2,regression,sciencefiction,nonlinear,0.7,2,0,0.6733632367632368,0.8206709584562817,0.6,0.6,0.7033889940301785,0.0125271479320445,0.9874728520679554,0.3794,158.0,0.1716221048694848,27.0,13.0,0.3922844529151916,0.83234703540802,-0.0287213325500488,2.4722991539256904,0.2398081534772182,7.0,2843.0,0.0074,0.0074,False,-0.014202529650468,Cinderella,6.0,2.0,0.2473884978912497,0.0641911403544134,0.0074895389257198,"-0.3353,0.0788,0.3234,-0.0448,0.2086,-0.3157","0.1912,0.1615,0.2757,0.1588,0.0567,0.1782",5/5,5.0,5.0,1.0,8.0,20.0,2928.0,155.0,217.5330991744995,80.203125,32585.0,0.51925,0.8250206047408237,-0.7239232515341953,2.441076931155064,2.167200802599885,-0.6029472935941282,0.8203517971566563,0.3794,0.8250206047408237,0.9874728520679554,-0.014202529650468,0.28799361911816446
horror_nonlinear_T0.7_s2,thelittleredridinghood_horror-suspenserewrite_nonlinear_T0.7_s2,horror,horror,nonlinear,0.7,2,0,0.6581303696303696,0.902032969358962,0.6,0.6,1.0,0.035500757645341,0.9644992423546588,0.4018,219.0,0.1744811492875352,31.0,14.0,0.4035141468048095,0.8130882978439331,-0.0552488267421722,2.06280966408656,0.1262626262626262,5.0,3852.0,0.9067,0.9067,True,0.1029792690277099,Rags to riches,5.0,1.0,0.1952931273752356,0.042882136140822,0.906665472049146,"-0.2494,0.1152,0.0819,0.2651,0.3021","0.13,0.2351,0.1721,0.2308,0.2366",5/5,5.0,5.0,1.0,10.0,41.0,3990.0,217.0,223.6728248596191,79.96875,30173.0,0.5070299999999998,0.7889348647638481,-0.07418104996428743,1.7530887727994764,1.734950450846709,-0.13884054871802887,0.8187544062409673,0.4018,0.7889348647638481,0.9644992423546588,0.1029792690277099,0.3264975985042923
horror_linear_T0.7_s2,thelittleredridinghood_horror-suspenserewrite_linear_T0.7_s2,horror,horror,linear,0.7,2,0,0.6357834665334665,0.7390737608159912,0.6,0.6,0.7356903232657004,0.0369995196816988,0.9630004803183012,0.404,252.0,0.17643332861338,42.0,19.0,0.3903807997703552,0.8356803059577942,-0.001411261036992,2.134498811404967,0.1865671641791044,8.0,4198.0,0.619,0.619,True,0.151913110982804,Tragedy,7.0,3.0,0.2871271793872136,0.038942547949721,0.6189268777133301,"0.5756,0.4838,-0.2202,0.2969,0.0661,0.0368,-0.1757","0.2408,0.2386,0.1907,0.1567,0.2247,0.1517,0.1459",5/5,5.0,5.0,1.0,8.0,44.0,4347.0,247.0,302.15251088142395,67.578125,33552.0,0.5632599999999999,0.7725459640282164,-0.01036708373867038,1.4406282373698578,1.7067511201583798,0.054965369609195756,0.7979944108496908,0.404,0.7725459640282164,0.9630004803183012,0.151913110982804,0.3190302693245473
romantic_linear_T0.9_s3,thelittleredridinghood_romanticrewrite_linear_T0.9_s3,romantic,romantic,linear,0.9,3,0,0.6563743756243756,0.9020706239881152,0.6,0.6,1.0,0.0902982333314669,0.9097017666685332,0.3986,296.0,0.171378232199008,38.0,16.0,0.3697523474693298,0.9005451202392578,0.051467977464199,2.235748801763281,0.2805540943363142,16.0,5610.0,0.5597,0.5597,True,0.5643390549553765,Tragedy,6.0,3.0,0.1994422758316022,0.040527908765305,0.5593330507306727,"0.3288,0.8628,0.4451,0.6788,0.7156,0.3548","0.2854,0.2885,0.2119,0.2816,0.2609,0.1824",5/5,5.0,5.0,1.0,9.0,35.0,5740.0,292.0,3725.8516159057617,32.671875,64802.0,0.9988400000000004,0.7405824274945456,-0.1670013644742738,0.8312314327494541,0.7039314496487913,1.6884072907836682,0.76414220217691,0.3986,0.7405824274945456,0.9097017666685332,0.5643390549553765,0.309047475952108
romantic_nonlinear_T0.9_s2,thelittleredridinghood_romanticrewrite_nonlinear_T0.9_s2,romantic,romantic,nonlinear,0.9,2,0,0.6363408535908537,0.6483726754994226,0.6,0.6,0.8497265054884021,0.1071910569522202,0.8928089430477797,0.4318,509.0,0.1705578656819991,66.0,23.0,0.4061271548271179,0.9415180683135986,-0.0686831325292587,2.1596792981124935,0.1243265644426025,12.0,9437.0,0.7123,0.7123,True,0.4391595972908867,Tragedy,6.0,1.0,0.1820401855818288,0.0609353391354766,0.7124064112414374,"0.4427,0.5504,0.6858,0.4786,0.0909,0.3865","0.1828,0.259,0.3286,0.236,0.1866,0.141",5/5,5.0,5.0,1.0,10.0,102.0,9725.0,507.0,517.9572970867157,39.953125,72891.0,1.1160500000000004,0.7067910959720995,0.7960093985668409,0.18698703157203309,0.38609158715870734,1.1926252557120318,0.6404283182524033,0.4318,0.7067910959720995,0.8928089430477797,0.4391595972908867,0.3164878158987125
romantic_linear_T0.9_s2,thelittleredridinghood_romanticrewrite_linear_T0.9_s2,romantic,romantic,linear,0.9,2,0,0.6178798487227058,0.9020706239881152,0.6,0.6,0.3206971982886841,0.1099602767893411,0.8900397232106588,0.4213,943.0,0.1711251926004834,127.0,44.0,0.403350755572319,0.9367284178733826,-0.1054274886846542,1.9366192110806888,0.194784114273347,36.0,18027.0,-0.0672,0.0672,True,0.5724745978911718,Rags to riches,8.0,7.0,0.3182925420800022,0.0469540583309898,-0.0673560391329148,"0.2012,0.7052,0.9957,0.5896,0.7055,-0.0549,0.6149,0.8225","0.3237,0.2609,0.2835,0.2047,0.2181,0.277,0.2462,0.3532",5/5,5.0,5.0,1.0,9.0,122.0,18565.0,935.0,1015.9570498466492,80.84375,149428.0,2.219079999999999,0.6728918028780311,0.49144274158094603,-0.45931569743463757,0.33398848870724507,1.7206286800465287,0.5216860532250206,0.4213,0.6728918028780311,0.8900397232106588,0.5724745978911718,0.3405276367554633
romantic_nonlinear_T0.3_s1,thelittleredridinghood_romanticrewrite_nonlinear_T0.3_s1,romantic,romantic,nonlinear,0.3,1,0,0.6173942557442558,0.7980171436990946,0.6,0.6,0.3067817630886356,0.1378835267389254,0.8621164732610745,0.4329,565.0,0.1878784009599257,75.0,27.0,0.3998418152332306,0.951370894908905,0.0006762780249118,2.062261098662433,0.1303052866716307,14.0,10449.0,-0.3909,0.3909,True,0.5497843596842383,Tragedy,7.0,3.0,0.185175667286774,0.0527255891868648,-0.3909885392674042,"0.4879,0.8701,0.3857,0.7596,0.3258,0.5777,0.4416","0.2239,0.2073,0.3437,0.2356,0.2172,0.1587,0.2598",5/5,5.0,5.0,1.0,9.0,112.0,10793.0,559.0,724.0115520954132,34.859375,98973.0,1.54991,0.6751311301142557,0.8279163816796486,-0.41662208432905323,-0.19138975021242682,1.6307623977956123,0.46266673623344523,0.4329,0.6751311301142557,0.8621164732610745,0.5497843596842383,0.32655608642802886
romantic_nonlinear_T0.3_s2,thelittleredridinghood_romanticrewrite_nonlinear_T0.3_s2,romantic,romantic,nonlinear,0.3,2,0,0.6389748712825636,0.7980171436990946,0.6,0.6,0.9252084505152056,0.1128619443960185,0.8871380556039815,0.4167,344.0,0.1804978548083089,53.0,21.0,0.4084524512290954,0.8995384573936462,-0.0229723528027534,2.244212835287214,0.2185951617604197,15.0,6679.0,0.6866,0.6866,True,0.3394847543466658,Tragedy,7.0,2.0,0.2208219580178954,0.050604742860724,0.6866919544629554,"0.6019,0.0616,0.4615,0.6094,0.4008,0.1838,0.0575","0.2892,0.2303,0.289,0.2452,0.2237,0.2418,0.1265",5/5,5.0,5.0,1.0,10.0,66.0,6883.0,339.0,543.3690297603607,74.234375,88413.0,1.3496299999999994,0.7177169011537774,0.35801353947284,0.3952916025823702,0.2793933746041647,0.7978560387628683,0.4576386388555608,0.4167,0.7177169011537774,0.8871380556039815,0.3394847543466658,0.3082411823056205
sciencefiction_linear_T0.7_s3,thelittleredridinghood_sciencefictionrewrite_linear_T0.7_s3,regression,sciencefiction,linear,0.7,3,0,0.6821974900099901,0.7602168782486654,0.6,0.6,0.8973022385569268,0.0611005240194332,0.9388994759805668,0.378,233.0,0.1687937867067419,39.0,15.0,0.3718354701995849,0.8979101181030273,-0.0227651391178369,2.8527149767266904,1.374733349134866,58.0,4086.0,-0.5888,0.5888,False,-0.056664814154307,Oedipus,5.0,1.0,0.193435287370221,0.0322427418188962,-0.5890062381659426,"0.1843,-0.3997,-0.0528,0.0495,-0.0646","0.138,0.1935,0.1621,0.1501,0.227",5/5,5.0,5.0,1.0,9.0,48.0,4241.0,229.0,276.0048608779907,51.25,30528.0,0.49706,0.7811061378104502,-0.764532139132315,1.603831159061376,1.2532887460430486,-0.7711221540534897,0.330366402979655,0.378,0.7811061378104502,0.9388994759805668,-0.056664814154307,0.2595572229040444
romantic_nonlinear_T0.7_s3,thelittleredridinghood_romanticrewrite_nonlinear_T0.7_s3,romantic,romantic,nonlinear,0.7,3,0,0.6341015708429503,0.5651799126322521,0.6,0.6,0.7855563149051373,0.1317577160696513,0.8682422839303486,0.4278,842.0,0.1777728985987297,116.0,39.0,0.4137934446334839,0.942211389541626,-0.0255412794649601,1.9666523362257775,0.1341595860218488,21.0,15189.0,-0.06,0.06,False,0.4323997954527537,Tragedy,8.0,4.0,0.2832078187369656,0.0683562165698921,-0.0599724873263194,"0.4798,0.8151,0.7086,0.7025,-0.0708,0.3304,0.3218,0.1719","0.2053,0.2205,0.3075,0.3424,0.3228,0.2116,0.1385,0.3127",5/5,5.0,5.0,1.0,8.0,99.0,15721.0,837.0,874.7633640766144,33.078125,115128.0,1.7958,0.6707967342674366,0.6799840054293571,-0.4992589657714148,-0.07613211984385031,1.1658525857027633,0.31761137637921383,0.4278,0.6707967342674366,0.8682422839303486,0.4323997954527537,0.3370802799468629
